epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,956.417,0.70751,0.39089,0.87291,0.90915,0.82129,0.89406,0.67738,0.70224,0.3755,0.86364,0.00332947,0.00332947,0.00332947
2,1906.32,0.7271,0.4093,0.8778,0.89883,0.78646,0.87284,0.64529,0.75572,0.41404,0.87954,0.00662982,0.00662982,0.00662982
3,2857.01,0.78897,0.46436,0.89945,0.84199,0.70671,0.79946,0.55978,0.87211,0.52108,0.923,0.00989718,0.00989718,0.00989718
4,3807.75,0.85797,0.52832,0.92496,0.83075,0.69989,0.78896,0.55157,0.88722,0.53173,0.92838,0.0098515,0.0098515,0.0098515
5,4757.85,0.85997,0.5289,0.92618,0.83305,0.70802,0.79384,0.55383,0.87647,0.52477,0.92509,0.009802,0.009802,0.009802
6,5708.91,0.86039,0.52823,0.92586,0.84909,0.70857,0.80082,0.56228,0.86573,0.50946,0.92037,0.0097525,0.0097525,0.0097525
7,6658.92,0.85492,0.52335,0.92469,0.85217,0.71486,0.80543,0.56865,0.85464,0.50011,0.91706,0.009703,0.009703,0.009703
8,7610.31,0.85295,0.52188,0.92334,0.85113,0.72331,0.81307,0.57392,0.84469,0.49252,0.91398,0.0096535,0.0096535,0.0096535
9,8562.2,0.8496,0.51906,0.92232,0.84923,0.73262,0.81738,0.58201,0.83307,0.48161,0.91058,0.009604,0.009604,0.009604
10,9511.15,0.84616,0.51539,0.92054,0.85796,0.73928,0.82612,0.58977,0.82315,0.47128,0.9068,0.0095545,0.0095545,0.0095545
11,10460.9,0.8414,0.51148,0.91858,0.86261,0.74551,0.83067,0.5967,0.81389,0.46385,0.90344,0.009505,0.009505,0.009505
12,11411,0.84018,0.51047,0.91966,0.86864,0.74868,0.83663,0.60287,0.80605,0.45589,0.90145,0.0094555,0.0094555,0.0094555
13,12360.3,0.839,0.50924,0.91752,0.87359,0.75438,0.83934,0.60637,0.79964,0.4506,0.89805,0.009406,0.009406,0.009406
14,13310.3,0.83563,0.50657,0.91654,0.87301,0.75983,0.8427,0.61062,0.79372,0.44555,0.89661,0.0093565,0.0093565,0.0093565
15,14259.7,0.83323,0.50427,0.91601,0.87272,0.76621,0.84654,0.61472,0.78885,0.4397,0.89519,0.009307,0.009307,0.009307
16,15209.5,0.83143,0.50215,0.91438,0.87725,0.76566,0.84742,0.61733,0.78397,0.43645,0.89303,0.0092575,0.0092575,0.0092575
17,16158.6,0.83083,0.50083,0.91399,0.87913,0.76665,0.84944,0.61962,0.7804,0.43276,0.89149,0.009208,0.009208,0.009208
18,17108,0.82838,0.49888,0.91275,0.87736,0.77135,0.85154,0.62192,0.77779,0.43063,0.89033,0.0091585,0.0091585,0.0091585
19,18060,0.82749,0.49717,0.91368,0.87809,0.77385,0.85307,0.6238,0.77575,0.42862,0.88979,0.009109,0.009109,0.009109
20,19012.6,0.82544,0.49624,0.91239,0.87923,0.77516,0.85416,0.62481,0.77387,0.427,0.8891,0.0090595,0.0090595,0.0090595
21,19965.2,0.8244,0.49527,0.91203,0.87865,0.7767,0.85518,0.62621,0.77249,0.42576,0.88863,0.00901,0.00901,0.00901
22,20919.3,0.82233,0.49411,0.91244,0.88141,0.7753,0.8561,0.62735,0.77092,0.42467,0.88813,0.0089605,0.0089605,0.0089605
23,21870,0.82251,0.49284,0.91187,0.88309,0.77522,0.85659,0.6279,0.7697,0.42352,0.88776,0.008911,0.008911,0.008911
24,22820.3,0.81953,0.49114,0.90992,0.88307,0.77614,0.85718,0.62875,0.76853,0.4227,0.8873,0.0088615,0.0088615,0.0088615
