epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,924.211,3.58769,6.24995,4.26274,0.49907,0.05363,0.04918,0.01977,2.66306,4.18549,2.49639,0.00332934,0.00332934,0.00332934
2,1794.37,1.72277,1.69325,1.62666,0.47799,0.38301,0.39387,0.22061,1.37209,1.12472,1.32523,0.00662969,0.00662969,0.00662969
3,2665.7,1.23045,0.97402,1.23191,0.67343,0.43046,0.48736,0.30298,1.1402,1.02905,1.17375,0.00989704,0.00989704,0.00989704
4,3534.89,1.07019,0.79212,1.12523,0.68144,0.54729,0.60727,0.39333,1.01424,0.73486,1.08632,0.0098515,0.0098515,0.0098515
5,4402.77,0.9836,0.69732,1.06987,0.73096,0.58138,0.65769,0.4395,0.94983,0.66313,1.04974,0.009802,0.009802,0.009802
6,5271.22,0.93597,0.64693,1.04094,0.76118,0.6076,0.69049,0.46818,0.91274,0.61292,1.02867,0.0097525,0.0097525,0.0097525
7,6139.3,0.903,0.6123,1.0214,0.7716,0.62508,0.70712,0.48364,0.88779,0.58352,1.01469,0.009703,0.009703,0.009703
8,7008.2,0.87888,0.58887,1.00718,0.78229,0.64365,0.72478,0.50118,0.86682,0.5618,1.00296,0.0096535,0.0096535,0.0096535
9,7876.65,0.86039,0.56918,0.9964,0.78259,0.65837,0.73875,0.51358,0.85098,0.54353,0.99475,0.009604,0.009604,0.009604
10,8744.93,0.8435,0.55187,0.98629,0.79507,0.66476,0.74745,0.52234,0.83989,0.53157,0.98883,0.0095545,0.0095545,0.0095545
11,9614.43,0.82924,0.53745,0.97863,0.79917,0.67117,0.75464,0.52897,0.83207,0.52116,0.98452,0.009505,0.009505,0.009505
12,10483.3,0.81672,0.52493,0.97103,0.79894,0.68039,0.76052,0.53521,0.82363,0.51216,0.9801,0.0094555,0.0094555,0.0094555
13,11352.6,0.80528,0.51423,0.96456,0.8035,0.68359,0.76603,0.54048,0.81842,0.50497,0.97783,0.009406,0.009406,0.009406
14,12220.7,0.79448,0.504,0.95821,0.8163,0.68327,0.77045,0.54479,0.81436,0.49898,0.97636,0.0093565,0.0093565,0.0093565
15,13089.2,inf,0.496,0.95376,0.81167,0.69037,0.77345,0.54839,0.81098,0.49498,0.97529,0.009307,0.009307,0.009307
16,13960.8,0.77729,0.48751,0.94896,0.8133,0.69436,0.77589,0.54972,0.80838,0.49174,0.97427,0.0092575,0.0092575,0.0092575
17,14832.7,0.76866,0.47989,0.94373,0.81033,0.69903,0.77738,0.55175,0.80561,0.48869,0.97294,0.009208,0.009208,0.009208
